Заголовок,Цена,Сколько осталось,Количество страниц,Год,Издательство
"YoungAdult Авеярд В. Кн.5 Разрушенный трон (Цикл ""Алые и Серебряные"") (мировой",811,Достаточно,c.576,2022,Эксмо
YoungAdult Авеярд В. Оллвард Кн.1 Разрушитель миров (мировой,809,Мало,c.768,2022,Эксмо
YoungAdult Авеярд В. Оллвард Кн.2 Разрушитель клинка (мировой,832,Мало,c.672,2023,Эксмо
"YoungAdult Анжело А. Вечность и Тлен (Цикл ""Мир",764,Достаточно,c.512,2024,Эксмо
"YoungAdult Анжело А. Сон и Пепел (Цикл ""Мир",683,Мало,c.352,2022,Эксмо
YoungAdult Гонг Х. Кн.1 Эти бурные,707,Мало,c.464,2022,Эксмо
YoungAdult Гонг Х. Кн.2 Наш неистовый,764,Достаточно,c.512,2023,Эксмо
YoungAdult Грей А. Хищные твари Кн.1 Охота,686,Достаточно,c.448,2023,Эксмо
"YoungAdult Грин Х. Прекрасная глупая попытка (продолжение книги ""Совершенно замечательная",782,Достаточно,c.512,2022,Эксмо
YoungAdult Диппель Ю. Изара. Белиал Кн.1 Война,714,Мало,c.384,2023,Эксмо
YoungAdult Диппель Ю. Изара. Белиал Кн.2 Проклятая,714,Достаточно,c.480,2023,Эксмо
YoungAdult Кнайдль Л. Кто-то,683,Мало,c.416,2022,Эксмо
YoungAdult Кова Э. Кн.1 Пробуждение воздуха (рожденная,585,Мало,c.448,2021,Эксмо
YoungAdult Крейн А. Шолох. Долина,686,Достаточно,c.512,2024,Эксмо
YoungAdult Крейн А. Шолох. Орден Сумрачной,664,Мало,c.480,2022,Эксмо
YoungAdult Крейн А. Шолох. Призрачные,612,Мало,c.576,2022,Эксмо
YoungAdult Лехчина Я. Год,714,Мало,c.416,2023,Эксмо
"YoungAdult Линн Д. Книга чая. Магия, пропитанная ядом (азиатское магическое",733,Мало,c.480,2022,Эксмо
YoungAdult Мэй Дом,735,Мало,c.448,2024,Эксмо
YoungAdult Роллинс Даниэлла Кн.2 Переплетения,585,Мало,c.384,2020,Эксмо
YoungAdult Роллинс Даниэлла Кн.3 Темные,585,Мало,c.320,2022,Эксмо
YoungAdult Себастьян Л. Кн.1 Принцесса пепла (наследница,782,Мало,c.480,2022,Эксмо
YoungAdult Себастьян Л. Кн.3 Королева искр (наследница,789,Мало,c.544,2020,Эксмо
YoungAdult Тан Д.Ч.Л. Нефрит. Огонь. Золото (китайское магическое,758,Мало,c.544,2022,Эксмо
YoungAdult Томас Э. Пропавшие в лесах,882,Мало,c.384,2022,Эксмо
YoungAdult Чо К. Кн.2 Жестокие,782,Мало,c.448,2022,Эксмо
YoungAdult Чокши Р. Бронзовые звери (гильдия,687,Мало,c.544,2022,Эксмо
YoungAdultАзиатскоеМагическоеФэнтези Чи Т. Тысяча шагов в ночи (азиатское магическое,764,Мало,c.544,2023,Эксмо
YoungAdultАкадемияПадших Стоун Л. Город,761,Мало,c.448,2022,Эксмо
YoungAdultАнгельскаяСага Вульф М. Кн.1 Возвращение,735,Достаточно,c.416,2023,Эксмо
YoungAdultАнгельскаяСага Вульф М. Кн.2 Гнев,735,Достаточно,c.448,2023,Эксмо
YoungAdultАнгельскаяСага Вульф М. Кн.3 Книга,735,Мало,c.512,2023,Эксмо
YoungAdultАроматТени Фристоун П. Корона из,585,Мало,c.480,2020,Эксмо
"YoungAdultБестселлеры Левенселлер Т. Кн.2 Повелительница стали (цикл ""Кузнец",733,Достаточно,c.480,2023,Эксмо
"YoungAdultБестселлеры Стивотер М. Кн.3 Вечность (цикл ""Волки из",585,Мало,c.544,2019,Эксмо
"YoungAdultБестселлеры Стивотер М. Кн.4 Грешник (цикл ""Волки из",585,Мало,c.448,2019,Эксмо
YoungAdultБестселлеры Стивотер М. Сновидец Кн.1 Призови,585,Мало,c.544,2020,Эксмо
YoungAdultБестселлеры Стивотер М. Сновидец Кн.2 Мистер,661,Достаточно,c.416,2022,Эксмо
YoungAdultБестселлеры Стивотер М. Сновидец Кн.3,686,Мало,c.416,2023,Эксмо
YoungAdultБрисеида Сиовель Т. Кн.1 Цитадель,782,Достаточно,c.576,2022,Эксмо
YoungAdultБрисеида Сиовель Т. Кн.2 Тени и,782,Мало,c.512,2022,Эксмо
YoungAdultБрисеида Сиовель Т. Кн.3 Темные,988,Мало,c.512,2023,Эксмо
YoungAdultВампирия Диксен В. Кн.1 Двор,782,Мало,c.448,2022,Эксмо
YoungAdultВедьминКрай Осокина А. Кн.1 Отмеченная,714,Мало,c.448,2023,Эксмо
YoungAdultВекТьмы Пул К.Р. Кн.3 И меркнет,758,Мало,c.512,2022,Эксмо
YoungAdultВладыкаДемонов Аквила Л. Кн.1 Янтарь рассеивает,785,Достаточно,c.576,2023,Эксмо
YoungAdultВоздушныйНарод Блэк Х. Как король Эльфхейма научился ненавидеть,1 135,Мало,c.192,2023,Эксмо
YoungAdultВоиныСветаГородскоеФэнтези Линч К.,782,Мало,c.512,2022,Эксмо
YoungAdultВойныФейри Браун С. Кн.1 Дикие,761,Мало,c.416,2022,Эксмо
YoungAdultВойныФейри Браун С. Кн.2 Коварные,761,Мало,c.416,2022,Эксмо
YoungAdultВойныФейри Браун С. Кн.4 Скверные,764,Мало,c.448,2023,Эксмо
YoungAdultВойныФейри Браун С. Кн.5 Кровавые,785,Мало,c.448,2023,Эксмо
YoungAdultГородСтихий Трамунтани Н. Кн.2 Мощь,733,Мало,c.448,2022,Эксмо
YoungAdultГородСтихий Трамунтани Н. Кн.3 Магия,733,Мало,c.416,2022,Эксмо
YoungAdultГотическоеФэнтези Клипстоун Л. Ночь Саммерсенда (призраки на краю,811,Мало,c.416,2022,Эксмо
YoungAdultДаркенхолл Болд Э. Кн.1 Тени. Сплетенные тьмой (стражи темного,687,Мало,c.384,2021,Эксмо
YoungAdultДаркенхолл Болд Э. Кн.3 Тени. Реки забвения (стражи темного,687,Мало,c.352,2022,Эксмо
YoungAdultДочериЗвезд Себастьян Л. Кн.1 Замки на их,789,Достаточно,c.512,2022,Эксмо
YoungAdultДраконорожденные Мунда Р. Кн.1 Власть,711,Мало,c.512,2022,Эксмо
YoungAdultДраконорожденные Мунда Р. Кн.2 Ярость,733,Мало,c.544,2022,Эксмо
YoungAdultЖелезныеФейри Кагава Д. Кн.5 Железный,864,Мало,c.576,2023,Эксмо
YoungAdultЖелезныеФейри Кагава Д. Кн.6 Железный,864,Мало,c.448,2023,Эксмо
YoungAdultЖелезныеФейри Кагава Д. Кн.7 Железный,864,Мало,c.448,2023,Эксмо
YoungAdultЗаклинательницаМонстров Мартино М. Кн.2 Ледяной,782,Мало,c.640,2022,Эксмо
YoungAdultЗаклинательницаМонстров Мартино М. Кн.3 Расколотая,782,Мало,c.640,2023,Эксмо
YoungAdultИгрыКоролей Анри С. Кн.1 Принц,714,Мало,c.576,2023,Эксмо
YoungAdultИгрыКоролей Анри С. Кн.2 Хранитель,735,Мало,c.576,2024,Эксмо
YoungAdultИмперияТьмыИгрыДраконов Клусс Дж. Кн.1 Дом,738,Мало,c.512,2021,Эксмо
YoungAdultКассардим Диппель Ю. Кн.3 За Танцующим,711,Мало,c.480,2022,Эксмо
YoungAdultКоллекцияФэнтези Бауэрс Д. Метка магии (магия темного,758,Мало,c.416,2022,Эксмо
YoungAdultКоллекцияФэнтези Бенгхарт Т. Сезон зловещих грез (магия темного,661,Мало,c.448,2022,Эксмо
YoungAdultКоллекцияФэнтези Дэвис К. Голубка и ворон (магия темного,585,Мало,c.512,2020,Эксмо
YoungAdultКоллекцияФэнтези Крэй К. Сердце призрака (магия темного,789,Мало,c.512,2022,Эксмо
YoungAdultКоллекцияФэнтези Фландерс К. Кн.1 Щит магии (магия темного,585,Мало,c.480,2020,Эксмо
YoungAdultКоролевстваСветаИТьмы Бонд К. Кн.1 Дом,711,Мало,c.448,2022,Эксмо
YoungAdultКоролевстваСветаИТьмы Бонд К. Кн.2 Дом,832,Мало,c.608,2022,Эксмо
YoungAdultКоролевствоВоронов Вильденштейн О. Кн.1 Дом железных,785,Мало,c.640,2024,Эксмо
YoungAdultКоролевствоЛедяныхСердец Джукич А.В. Принц льда и,714,Мало,c.672,2023,Эксмо
YoungAdultКоролевствоМоряИМагии Резерфорд М. Кн.1 Корона из жемчуга и,711,Достаточно,c.416,2022,Эксмо
YoungAdultКоролевствоМоряИМагии Резерфорд М. Кн.2 Королевство моря и,711,Достаточно,c.416,2022,Эксмо
YoungAdultКоролевствоМоряИМагии Резерфорд М. Кн.3,761,Достаточно,c.416,2022,Эксмо
YoungAdultКоролиАвальера Стоун Л. Кн.1 Последний король,686,Мало,c.384,2023,Эксмо
YoungAdultКоронаТьмы Кнайдль Л. Кн.2 Рождение,738,Мало,c.672,2020,Эксмо
YoungAdultКоронаТьмы Кнайдль Л. Кн.3 Сумеречные,860,Мало,c.736,2022,Эксмо
YoungAdultЛегендыМеждумирий Преображенская Е. Проклятие черного,714,Мало,c.512,2023,Эксмо
YoungAdultЛитерсум Розенбеккер Л. Кн.1 Поцелуй,733,Мало,c.352,2021,Эксмо
YoungAdultЛитерсум Розенбеккер Л. Кн.2 Проклятие,733,Мало,c.352,2022,Эксмо
YoungAdultМагияВремен Фёллер Е. Кн.2 Золотой,636,Мало,c.352,2019,Эксмо
YoungAdultМагияВремен Фёллер Е. Кн.3 Потайная,636,Мало,c.352,2019,Эксмо
YoungAdultМагияМусаи Меллоу Э. Кн.2 Танец пылающего моря (темное романтическое,811,Достаточно,c.608,2022,Эксмо
YoungAdultМагияМусаи Меллоу Э. Кн.3 Симфония для смертельного трона (темное романтическое,814,Мало,c.480,2023,Эксмо
YoungAdultМагияНебесЗвездныеХроники Ноймайер М. Кн.2 Под знаком,733,Мало,c.448,2021,Эксмо
"YoungAdultМагияШипов Чэнь Д. Кн.1 Вайолет, созданная из",832,Достаточно,c.448,2022,Эксмо
YoungAdultМеждумирье Сакрытина М.Н. Кн.2 Пешка,714,Достаточно,c.544,2024,Эксмо
YoungAdultМертваяКоролева Кобцева О. Кн.1,714,Мало,c.544,2023,Эксмо
"YoungAdultМирСветлыхИТемных Инспирати Е. Кн.1 Любовь серого оттенка. Клятва, данная",686,Мало,c.576,2023,Эксмо
YoungAdultМолодежноеРоссийскоеФэнтези Корнер Д. Дочь,714,Достаточно,c.416,2024,Эксмо
YoungAdultМолодежноеРоссийскоеФэнтези Корнер Д. Убийца,714,Мало,c.608,2023,Эксмо
YoungAdultНаместницаВароссы Арвер Ю. Кн.1 Змеи города,714,Мало,c.528,2023,Эксмо
YoungAdultНаместницаВароссы Арвер Ю. Кн.2 Демоны города,785,Мало,c.512,2024,Эксмо
YoungAdultНаследникиЛеса Беккер Э. Кн.1 Рожденная,782,Достаточно,c.512,2022,Эксмо
YoungAdultНаследникиСириона Пелуссо Ф. Возмездие,711,Мало,c.480,2022,Эксмо
YoungAdultНаследницаФейри Райан Л. Кн.2 Эти спутанные,761,Мало,c.544,2022,Эксмо
YoungAdultНемецкоеМагическоеФэнтези Саммер Х. Настоящая сказка. Истинный,733,Мало,c.448,2022,Эксмо
YoungAdultНемецкоеМагическоеФэнтези Сизо К. Эзлин. Прикосновение,656,Мало,c.416,2021,Эксмо
YoungAdultНемецкоеМагическоеФэнтези Шмитт-Эгнер И. Серая,661,Мало,c.416,2022,Эксмо
YoungAdultНефилимы Холл Д. Кн.1 Украденный,661,Достаточно,c.448,2022,Эксмо
YoungAdultНефилимы Холл Д. Кн.2 Скованная,782,Мало,c.512,2022,Эксмо
YoungAdultНочныеСтражники Пеньяранда Х. Кн.1 Восстание,764,Достаточно,c.512,2023,Эксмо
YoungAdultОхотницыАрии Цайсслер Э. Эовин Кн.1 Пробуждение,764,Мало,c.480,2023,Эксмо
YoungAdultОхотницыАрии Цайсслер Э. Эовин Кн.2 Выбор,764,Мало,c.480,2024,Эксмо
"YoungAdultПесньПоследнегоКоролевства Вэнь Чжао А. Кн.1 Песнь серебра, пламя, подобное",785,Мало,c.544,2024,Эксмо
YoungAdultПовелителиСилы Рэй Д. Кн.1,686,Достаточно,c.416,2024,Эксмо
YoungAdultПоследнийИзВидящих Сушкова О.С. Кн.1 Демоны,714,Достаточно,c.608,2023,Эксмо
YoungAdultПоследняяФинестра Тьед Э. Кн.1 Эта жестокая,782,Достаточно,c.512,2022,Эксмо
YoungAdultПроклятиеВечности Болд Э. Кн.3 Вечный (романтическое,585,Мало,c.320,2020,Эксмо
YoungAdultПроклятиеГринМанор Сноу Р. Кн.1 Мгновение вечности (романтическое,636,Мало,c.480,2020,Эксмо
YoungAdultРазрушенноеКоролевство Эндрюс Л.Дж. Кн.1 Проклятие теней и,785,Мало,c.448,2023,Эксмо
YoungAdultРазрушенноеКоролевство Эндрюс Л.Дж. Кн.2 Двор льда и,785,Мало,c.448,2023,Эксмо
YoungAdultРазрушенноеКоролевство Эндрюс Л.Дж. Кн.3 Корона крови и,785,Мало,c.512,2024,Эксмо
YoungAdultРуныТьмы Чупеко Р. Кн.1 Костяная,711,Мало,c.512,2022,Эксмо
YoungAdultРуныТьмы Чупеко Р. Кн.2 Кузнец,761,Мало,c.544,2022,Эксмо
YoungAdultРуныТьмы Чупеко Р. Кн.3 Сердце,761,Мало,c.512,2023,Эксмо
YoungAdultСальваторыВторогоМира Хост М. Кн.1 Мир клятв и,714,Мало,c.608,2023,Эксмо
YoungAdultСальваторыВторогоМира Хост М. Кн.2 Мир проклятий и,785,Мало,c.768,2023,Эксмо
YoungAdultСвязанныеУзамиСФейри Одетт Т. Вкус,785,Мало,c.576,2023,Эксмо
YoungAdultСвязанныеУзамиСФейри Одетт Т. Поцелуй,785,Мало,c.640,2023,Эксмо
YoungAdultСвязанныеУзамиСФейри Одетт Т. Проклятие,782,Мало,c.512,2023,Эксмо
YoungAdultСвязанныеУзамиСФейри Одетт Т. Сердце,782,Мало,c.512,2023,Эксмо
YoungAdultСказанияДикихЗемель Файпари А. Кн.1 Фрейя. Ведущая,785,Мало,c.640,2024,Эксмо
YoungAdultСмертельноеОбразование Новик Н. Кн.1 Первый урок,764,Мало,c.512,2023,Эксмо
YoungAdultСмертельноеОбразование Новик Н. Кн.2 Последний,764,Мало,c.512,2023,Эксмо
YoungAdultСмертельноеОбразование Новик Н. Кн.3 Золотые,764,Достаточно,c.512,2023,Эксмо
YoungAdultСтальИКоварство Нордсвей Т. Кн.1 Узники мира,714,Мало,c.608,2023,Эксмо
YoungAdultСумеречнаяЖажда Ахдие Р. Роза и,782,Мало,c.368,2022,Эксмо
YoungAdultСумеречнаяЖажда Вульф Т.,586,Мало,c.544,2023,Эксмо
